s/n ,State,Year,Population,Totalcrime_count,Totalcrime_loss,Bec_count,Bec_loss,Romance_counts,Romance_loss,Creditcard_count,Creditcard_loss,Databreach_count,Databreach_loss,GovtImp_count,GovtImp_loss,Age<20_count,Age<20_loss,Age<29_count,Age<29_loss,Age<39_count,Age<39_loss,Age<49_count,Age<49_loss,Age<59_count,Age<59_loss,Age>60_count,Age>60_loss
49,West Virginia,2021,"1,782,959 ","2,276 ","$10,642,000.00",56,"$3,205,222.00",95,"$1,458,019.00",60,"$544,754.00",323,"$249,491.00",43,"$30,916.00",49,"$442,063.00",237,"$1,025,461.00",601,"$800,109.00",305,"$2,518,708.00",324,"$991,974.00",335,"$2,577,741.00"
50,Wisconsin,2021,"5,895,908 ","9,387 ","$57,641,000.00",236,"$17,914,341.00",348,"$7,526,797.00",177,"$796,763.00",591,"$2,032,963.00",224,"$2,799,354.00",220,"$624,317.00",649,"$2,377,050.00",918,"$4,893,385.00",981,"$4,892,624.00","2,460","$5,930,342.00","1,129","$17,844,973.00"
51,Wyoming,2021,"578,803 ",798 ,"$10,546,000.00",52,"$2,616,050.00",55,"$1,713,763.00",29,"$184,048.00",54,"$195,254.00",27,"$85,999.00",29,"$18,038.00",69,"$310,369.00",105,"$504,233.00",133,"$1,088,275.00",99,"$766,997.00",181,"$4,498,432.00"
1,Alabama,2020,"5,204,279 ","6,115 ","$32,142,782.00",179,"$13,747,390.00",226,"$4,999,229.00",553,"$1,415,942.00",612,"$1,260,665.00",141,"$392,140.00",194,"$165,113.00",724,"$1,915,035.00",887,"$1,391,229.00",907,"$5,080,477.00",848,"$4,535,743.00","1,040","$7,863,338.00"
2,Alaska,2020,"733,391 ","2,294 ","$7,809,407.00",75,"$2,770,348.00",92,"$1,672,178.00",64,"$134,828.00",131,"$245,148.00",73,"$121,548.00",66,"$76,889.00",214,"$500,004.00",192,"$1,141,567.00",240,"$979,352.00",469,"$900,403.00",563,"$2,561,387.00"
3,Arizona,2020,"7,151,502 ","14,364 ","$84,020,317.00",365,"$30,563,349.00",559,"$12,068,910.00",520,"$2,156,265.00","1,054","$2,122,564.00",322,"$1,703,493.00",412,"$2,149,407.00","1,371","$3,804,565.00","1,869","$8,243,067.00","1,800","$13,929,074.00","1,794","$8,352,211.00","3,053","$27,038,828.00"
4,Arkansas,2020,"3,011,524 ","4,329 ","$18,583,517.00",87,"$9,667,334.00",149,"$1,816,994.00",102,"$900,875.00",312,"$421,705.00",98,"$321,858.00",104,"$78,794.00",335,"$524,089.00",511,"$4,208,241.00","1,557","$2,531,905.00",478,"$5,299,929.00",636,"$3,497,078.00"
5,California,2020,"39,538,223 ","72,927 ","$755,150,802.00","2,924","$219,121,752.00","3,110","$120,492,182.00","2,637","$15,484,731.00","6,372","$23,133,897.00","1,439","$28,344,200.00","2,261","$7,855,323.00","9,082","$34,331,202.00","11,120","$91,468,664.00","11,736","$80,933,593.00","9,530","$126,241,838.00","12,534","$152,644,032.00"
6,Colorado,2020,"5,773,714 ","13,102 ","$130,324,061.00",495,"$48,491,996.00",439,"$11,802,982.00",336,"$1,411,841.00",829,"$2,122,842.00",277,"$872,782.00",284,"$850,208.00","1,116","$2,455,570.00","1,555","$17,859,671.00","1,544","$19,268,252.00","1,521","$19,888,234.00","4,335","$20,852,509.00"
7,Connecticut,2020,"3,605,944 ","5,923 ","$49,094,761.00",269,"$22,910,309.00",199,"$5,630,798.00",130,"$559,683.00",475,"$1,103,933.00",109,"$404,924.00",171,"$311,779.00",561,"$1,659,418.00",700,"$2,292,996.00","1,097","$5,007,358.00",768,"$15,658,093.00","1,057","$10,645,305.00"
8,Delaware,2020,"989,948 ","2,311 ","$9,078,839.00",67,"$2,641,363.00",58,"$488,609.00",53,"$149,359.00",116,"$156,568.00",55,"$243,872.00",71,"$54,445.00",279,"$503,231.00",244,"$382,835.00",223,"$777,408.00",204,"$1,096,966.00",371,"$2,276,129.00"
9,District of Columbia,2020,"689,545 ","2,312 ","$23,950,867.00",143,"$11,925,252.00",71,"$3,131,734.00",41,"$25,536.00",207,"$365,074.00",59,"$730,643.00",50,"$1,305,148.00",242,"$899,717.00",328,"$1,337,019.00",253,"$3,221,707.00",244,"$2,422,225.00",252,"$5,136,728.00"
10,Florida,2020,"21,538,187 ","56,276 ","$363,799,406.00","1,381","$115,001,364.00","1,603","$40,173,934.00","1,650","$7,212,126.00","3,862","$12,526,267.00",963,"$5,379,106.00","6,614","$5,086,248.00","4,760","$11,848,968.00","7,168","$34,291,229.00","8,204","$60,039,514.00","8,983","$47,022,737.00","9,252","$84,649,328.00"
11,Georgia,2020,"10,711,908 ","23,746 ","$141,378,000.00",476,"$34,575,245.00",515,"$9,368,218.00",408,"$2,089,274.00","1,124","$11,155,591.00",303,"$1,749,460.00",438,"$1,632,027.00","1,464","$3,343,006.00","2,066","$14,239,387.00","1,949","$16,453,194.00","1,844","$20,156,709.00","2,145","$25,799,082.00"
12,Hawaii,2020,"1,455,271 ","2,061 ","$16,503,000.00",67,"$3,948,292.00",109,"$1,810,905.00",39,"$929,845.00",157,"$407,586.00",37,"$42,702.00",53,"$828,786.00",182,"$299,516.00",280,"$507,520.00",255,"$1,406,555.00",307,"$2,221,093.00",452,"$5,436,326.00"
13,Idaho,2020,"1,839,106 ","2,367 ","$14,072,000.00",78,"$3,032,789.00",130,"$2,126,196.00",93,"$760,075.00",201,"$530,439.00",57,"$407,541.00",110,"$585,786.00",253,"$295,128.00",336,"$1,386,831.00",296,"$1,871,054.00",295,"$589,013.00",550,"$4,600,473.00"
